atom,x,y,z,phase,sigma
0,4.382773994286538,-7.36682515955615,-14.68884723404177,5.593758727875338,1.2
1,-15.471115663087069,10.024647654408717,13.208178472887095,1.427273254103204,1.2
2,3.4123448245497556,7.343889951487949,1.3959997268935318,3.9156003111145408,1.2
3,11.43693685080222,-14.92526159022514,7.34897428575821,0.5278839723744851,1.2
4,-10.379020140718112,11.62172551519637,1.3267590479709348,5.231657474644899,1.2
5,-6.409219502803687,-2.4740089216749297,-15.093770523345185,4.945484520918815,1.2
6,-12.022935152013954,5.45998127019617,4.710064370376003,1.5040025672010786,1.2
7,6.0302953782700826,-3.554514432668679,-11.676911839282841,5.507112841004416,1.2
8,7.087626886210614,0.8113383192232284,-6.072259982113419,0.36799381575837975,1.2
9,-0.45326851738274954,12.463610699168008,13.88939251059999,2.1118857763128847,1.2
10,-4.550553705309753,2.28895458335235,-5.700179485569851,0.9442337383644338,1.2
11,3.0176009663902974,-5.186840783771736,-3.4681919830988406,2.8295656917753607,1.2
